stem,storage_day,pred_class,area_um2,circularity,sum_I,npix,I_bg,dry_mass_pg
20110511_4,0,1,59.927,0.8843,195295.0,2886.0,70.0,29.549930776039684
20110511_4,0,1,122.762,0.5144,402916.0,5912.0,70.0,60.964898786752386
20110511_4,0,1,52.971,0.8576,176957.0,2551.0,70.0,26.775222613664738
20110511_4,0,1,59.657,0.8682,169385.0,2873.0,70.0,25.62950932947327
20110511_4,0,1,52.037,0.9226,164454.0,2506.0,70.0,24.88340365008234
20110511_4,0,1,101.021,0.4674,323150.0,4865.0,70.0,48.89556890999373
20110511_4,0,4,36.588,0.8763,130939.0,1762.0,70.0,19.812275715629486
20110511_4,0,1,58.889,0.8599,145571.0,2836.0,70.0,22.026231972138934
20110511_4,0,1,51.268,0.9114,136185.0,2469.0,70.0,20.606043793926954
20110511_4,0,1,55.193,0.8736,200827.0,2658.0,70.0,30.386973286360234
20110511_4,0,1,48.361,0.8948,132513.0,2329.0,70.0,20.050436400959303
20110511_4,0,1,53.552,0.8875,193122.0,2579.0,70.0,29.221135878186008
20110511_4,0,1,60.509,0.9108,157236.0,2914.0,70.0,23.791253823709653
20110511_4,0,1,59.367,0.9051,178946.0,2859.0,70.0,27.076176618188885
20110511_4,0,1,57.643,0.874,187118.0,2776.0,70.0,28.312675424107088
20110511_4,0,1,32.954,0.7839,68316.0,1587.0,70.0,10.336839503806688
20110511_5,0,1,65.222,0.8067,204743.0,3141.0,65.0,30.979500124830093
20110511_5,0,1,54.57,0.7292,176803.0,2628.0,65.0,26.75192099642154
20110511_5,0,1,70.455,0.859,215595.0,3393.0,65.0,32.62150759446108
20110511_5,0,4,152.684,0.4856,492443.0,7353.0,65.0,74.51115779280222
20110511_5,0,1,78.159,0.8428,212959.0,3764.0,65.0,32.22265653567493
20110511_5,0,1,80.131,0.848,220542.0,3859.0,65.0,33.37003422109805
20110511_5,0,1,79.052,0.8891,211445.0,3807.0,65.0,31.99357440251779
20110511_5,0,1,68.69,0.8884,200148.0,3308.0,65.0,30.28423433760614
20110511_5,0,1,88.458,0.8782,225312.0,4260.0,65.0,34.09177911882564
20110511_5,0,1,148.676,0.4591,349753.0,7160.0,65.0,52.920847634154526
20110511_5,0,1,82.021,0.8478,210456.0,3950.0,65.0,31.843929600871547
20110511_5,0,1,71.95,0.9003,164435.0,3465.0,65.0,24.88052877522766
20110511_5,0,1,72.656,0.8731,169942.0,3499.0,65.0,25.71378855547626
20110511_5,0,1,68.586,0.8919,191156.0,3303.0,65.0,28.923661985328053
20110511_5,0,3,76.311,0.8422,154027.0,3675.0,65.0,23.305702591674468
20110511_5,0,1,65.555,0.8444,178112.0,3157.0,65.0,26.94998474298871
